USGS SID,Sample start date (yyyymmdd),Sample start time (hhmm),mediumcode,Sample end date (yyyymmdd),Sample end time (hhmm),01046,01047,,,,,,,,,,,,,,
391454106224201,20140529,1130,WS,,,74,74,,,,,,,,,,,,,,
391500106224901,20140529,1215,WG,,,34,32,,,,,,,,,,,,,,
391501106224901,20140529,1250,WG,,,764,565,,,,,,,,,,,,,,
391504106225200,20140529,1330,WG,,,5720,5680,,,,,,,,,,,,,,
391504106225201,20140529,1400,WS,,,65,57,,,,,,,,,,,,,,
391501106225401,20140529,1530,WS,,,131,126,,,,,,,,,,,,,,
391501106230601,20140529,1630,WG,,,13300,13200,,,,,,,,,,,,,,
391504106223001,20140530,0920,WS,,,185,182,,,,,,,,,,,,,,
391517106223801,20140530,1000,WG,,,1670,1490,,,,,,,,,,,,,,
391512106230001,20140530,1200,WG,,,25,25,,,,,,,,,,,,,,
391517106230601,20140530,1245,WG,,,52,49,,,,,,,,,,,,,,
391517106230602,20140530,1300,WS,,,36,36,,,,,,,,,,,,,,
391519106230901,20140530,1345,WG,,,27,27,,,,,,,,,,,,,,
391518106230901,20140530,1320,WG,,,22,22,,,,,,,,,,,,,,
391452106224201,20140529,1015,WS,,,152,151,,,,,,,,,,,,,,
391443106225701,20140529,1205,WS,,,112,112,,,,,,,,,,,,,,
391445106230701,20140529,1255,WG,,,16,16,,,,,,,,,,,,,,
391449106232001,20140529,1345,WG,,,1590,1590,,,,,,,,,,,,,,
391435106230801,20140529,1440,WG,,,5890,5730,,,,,,,,,,,,,,
391502106230601,20140529,1625,WS,,,304,278,,,,,,,,,,,,,,
391559106230901,20140530,0940,WG,,,389,354,,,,,,,,,,,,,,
391512106230401,20140530,1555,WG,,,28300,28200,,,,,,,,,,,,,,
391513106230401,20140530,1605,WG,,,92700,92600,,,,,,,,,,,,,,
391513106232601,20140530,1220,WG,,,73,73,,,,,,,,,,,,,,
391606106241601,20140612,1240,WG,,,17300,2520,,,,,,,,,,,,,,
391502106230601,20140924,1240,WS,,,1330,474,,,,,,,,,,,,,,
391452106224201,20140923,1045,WS,,,206,181,,,,,,,,,,,,,,
391606106241601,20140923,1215,WG,,,10400,1600,,,,,,,,,,,,,,
391559106230901,20140923,1355,WG,,,21,7,,,,,,,,,,,,,,
391435106230801,20140923,1610,WG,,,6010,6010,,,,,,,,,,,,,,
391443106225701,20140924,0900,WS,,,253,216,,,,,,,,,,,,,,
391445106230701,20140924,0930,WG,,,218,212,,,,,,,,,,,,,,
391449106232001,20140924,1015,WG,,,2600,2570,,,,,,,,,,,,,,
391513106232601,20140924,1130,WG,,,1480,950,,,,,,,,,,,,,,
391501106230601,20140924,1340,WG,,,44900,44700,,,,,,,,,,,,,,
391501106225401,20140924,1425,WS,,,1420,713,,,,,,,,,,,,,,
391454106224201,20140923,1145,WS,,,271,164,,,,,,,,,,,,,,
391500106224901,20140923,1245,WG,,,24,18,,,,,,,,,,,,,,
391501106224901,20140923,1315,WG,,,728,489,,,,,,,,,,,,,,
391504106225200,20140923,1410,WG,,,7740,7590,,,,,,,,,,,,,,
391504106223001,20140923,1530,WS,,,225,198,,,,,,,,,,,,,,
391517106223801,20140923,1645,WG,,,61,50,,,,,,,,,,,,,,
391504106225201,20140924,0900,WS,,,247,153,,,,,,,,,,,,,,
391517106230602,20140924,1030,WS,,,32,17,,,,,,,,,,,,,,
391517106230601,20140924,1050,WG,,,12,8,,,,,,,,,,,,,,
391519106230901,20140924,1105,WG,,,22,16,,,,,,,,,,,,,,
391518106230901,20140924,1120,WG,,,10,8,,,,,,,,,,,,,,
391512106230401,20140924,1340,WG,,,28900,28900,,,,,,,,,,,,,,
391513106230401,20140924,1350,WG,,,72600,72000,,,,,,,,,,,,,,
391454106224201,20140529,1132,OAQ,,,4,2,,,,,,,,,,,,,,
391504106225201,20140529,1407,WSQ,,,67,67,,,,,,,,,,,,,,
391504106223001,20140530,0922,OAQ,,,11,11,,,,,,,,,,,,,,
391517106223801,20140530,1007,WGQ,,,1640,1410,,,,,,,,,,,,,,
391452106224201,20140529,1052,OAQ,,,2,2,,,,,,,,,,,,,,
391502106230601,20140529,1627,WSQ,,,304,289,,,,,,,,,,,,,,
391559106230901,20140530,0947,WGQ,,,390,353,,,,,,,,,,,,,,
391454106224201,20140923,1142,OAQ,,,2,2,,,,,,,,,,,,,,
391606106241601,20140923,1222,OAQ,,,3,2,,,,,,,,,,,,,,
391502106230601,20140924,1247,WSQ,,,1340,467,,,,,,,,,,,,,,
391500106224901,20140923,1247,WGQ,,,36,19,,,,,,,,,,,,,,
391504106225201,20140924,0902,OAQ,,,2,2,,,,,,,,,,,,,,
391512106230001,20140924,0957,WGQ,,,24,19,,,,,,,,,,,,,,
391530106223601,20140530,1305,WS,,,112,112,,,,,,,,,,,,,,
391530106223601,20140530,1302,OAQ,,,7,5,,,,,,,,,,,,,,
391600106235701,20140612,1155,WS,,,23,23,,,,,,,,,,,,,,
391512106230001,20140924,0950,WG,,,25,14,,,,,,,,,,,,,,
391501106225401,20140924,1422,OAQ,,,2,2,,,,,,,,,,,,,,
391559106230901,20140923,1407,WGQ,,,12,5,,,,,,,,,,,,,,
