Element,PARM_CD,factor,sign,
Ca,91051,0.0000499,Cat,
Ca,00915,0.0499,Cat,
Ca,00910,0.01998,Cat,
Ca,00916,0.0499,Cat,
Ca,00918,0.0499,Cat,
Mg,91052,0.00008229,Cat,
Mg,00925,0.08229,Cat,
Mg,00920,0.01998,Cat,
Mg,00927,0.08229,Cat,
Mg,00921,0.08229,Cat,
Na,91053,0.0000435,Cat,
Na,00930,0.04350,Cat,
Na,00929,0.04350,Cat,
Na,00923,0.04350,Cat,
K,91054,0.00002558,Cat,
K,00935,0.02558,Cat,
K,00937,0.02558,Cat,
K,00939,0.02558,Cat,
Fe,04097,0.00003581,Cat,
Fe,01047,0.00003581,Cat,
Fe,01046,0.00003581,Cat,
Fe,01048,0.00003581,Cat,
Fe,62982,0.00003581,Cat,
Fe,99114,0.03581,Cat,
Fe,99115,0.03581,Cat,
Fe,99032,0.00003581,Cat,
Fe,71885,0.00003581,Cat,
Fe,74010,0.03581,Cat,
Fe,01045,0.00003581,Cat,
Fe,99128,0.03581,Cat,
Fe,99129,0.03581,Cat,
Mn,01056,0.00003640,Cat,
Mn,62990,0.00003640,Cat,
Mn,71883,0.00003640,Cat,
Mn,01055,0.00003640,Cat,
Mn,01123,0.00003640,Cat,
H,00191,0.99212,Cat,
Cl,91001,0.00002821,An,
Cl,00940,0.02821,An,
Cl,99117,0.02821,An,
Cl,99220,0.02821,An,
SO4,00945,0.02082,An,
SO4,00946,0.02082,An,
SO4,91005,0.00002082,An,
SO4,99113,0.02082,An,
SO4,99890,0.02082,An,
SO4,99127,0.02082,An,
F,91002,0.00005264,An,
F,00950,0.05264,An,
F,00951,0.05264,An,
Alk_maj,39086,0.01998,An,
Alk_maj,29802,0.01998,An,
Alk_maj,99431,0.01998,An,
Alk_maj,39036,0.01998,An,
Alk_maj,00418,0.01998,An,
Alk_maj,39087,0.01998,An,
Alk_maj,29803,0.01998,An,
Alk_maj,99432,0.001,An,
Alk_maj,29801,0.01998,An,
Alk_maj,00421,0.01998,An,
Alk_maj,00419,0.01998,An,
Alk_maj,29813,0.01998,An,
Alk_maj,00410,0.01998,An,
Alk_maj,00416,0.01998,An,
Alk_maj,90410,0.01998,An,
Alk_maj,00417,0.01998,An,
Alk_maj,95410,0.01998,An,
Alk_maj,00409,0.001,An,
Alk_maj,00413,0.01998,An,
Alk_maj,00431,0.01998,An,
Alk_maj,00411,0.01998,An,
Alk_maj,46005,1.000,An,
Alk_maj,00415,0.01998,An,
Alk_maj,00453,0.01639,An,
HCO3,00450,0.01639,An,
HCO3,99440,0.01639,An,
HCO3,63786,0.01639,An,
HCO3,29797,0.01639,An,
HCO3,29804,0.01639,An,
HCO3,00440,0.01639,An,
HCO3,29806,0.01639,An,
HCO3,00449,0.01639,An,
HCO3,90440,0.01639,An,
HCO3,63787,0.01639,An,
HCO3,29805,0.01639,An,
HCO3,00451,0.01639,An,
HCO3,95440,0.01639,An,
HCO3,00425,0.01998,An,
HCO3,00452,0.03333,An,
CO3,00447,0.03333,An,
CO3,99445,0.03333,An,
CO3,63788,0.03333,An,
CO3,29798,0.03333,An,
CO3,29807,0.03333,An,
CO3,00445,0.03333,An,
CO3,29809,0.03333,An,
CO3,00446,0.03333,An,
CO3,90445,0.03333,An,
CO3,63789,0.03333,An,
CO3,29808,0.03333,An,
CO3,00448,0.03333,An,
CO3,95445,0.03333,An,
CO3,71834,0.05880,An,
OH,71832,0.05880,An,
OH,99830,0.05880,An,
OH,29800,0.05880,An,
OH,29799,0.05880,An,
OH,29810,0.05880,An,
OH,71830,0.05880,An,
OH,29812,0.05880,An,
OH,71831,0.05880,An,
OH,90830,0.05880,An,
OH,29811,0.05880,An,
OH,71833,0.05880,An,
OH,95830,0.05880,An,
OH,00420,0.05880,An,
OH,00631,0.07139,An,
NO2NO3,99889,0.07139,An,
NO2NO3,00630,0.07139,An,
NO2NO3,90859,0.07139,An,
NO2NO3,00613,0.07139,An,
NO2,71856,0.02174,An,
NO2,99116,0.07139,An,
NO2,00615,0.07139,An,
NO2,71855,0.02174,An,
NO2,99125,0.07139,An,
NO2,00618,0.07139,An,
NO3,71851,0.01613,An,
NO3,64832,0.00007139,An,
NO3,91003,0.00001613,An,
NO3,99121,0.07139,An,
NO3,00620,0.07139,An,
NO3,71850,0.01613,An,
NO3,99124,0.07139,An,
NO3,99130,0.001,An,
